@relation spiel-weka.filters.unsupervised.attribute.Remove-R2_predicted

@attribute Verein numeric
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute predictedreal_outcome {Sieg,Unentschieden,Niederlage}
@attribute real_outcome {Sieg,Unentschieden,Niederlage}

@data
56,7,3,6,4,0,1,Unentschieden,Unentschieden
5,18,8,3,0,2,3,Sieg,Unentschieden
45,15,2,6,2,3,0,Unentschieden,Unentschieden
23,30,5,5,2,1,2,Unentschieden,Unentschieden
24,26,4,2,2,3,0,Unentschieden,Unentschieden
41,27,4,3,2,1,2,Unentschieden,Unentschieden
9,17,5,1,1,3,1,Sieg,Unentschieden
17,10,1,6,2,0,3,Unentschieden,Unentschieden
27,11,2,5,2,3,0,Unentschieden,Unentschieden
6,22,4,3,1,4,0,Sieg,Unentschieden
8,23,6,3,3,2,0,Sieg,Unentschieden
30,7,4,4,3,1,1,Unentschieden,Unentschieden
15,22,3,10,5,0,0,Unentschieden,Unentschieden
41,21,5,1,0,4,1,Sieg,Unentschieden
17,32,6,4,1,3,1,Sieg,Unentschieden
52,35,3,6,3,0,2,Unentschieden,Unentschieden
50,8,3,8,2,0,3,Unentschieden,Unentschieden
21,31,6,4,1,3,1,Sieg,Unentschieden
19,23,2,2,1,3,1,Sieg,Unentschieden
43,38,2,4,1,2,2,Unentschieden,Unentschieden
50,26,2,5,2,2,1,Unentschieden,Unentschieden
44,36,1,2,1,3,1,Unentschieden,Unentschieden
51,19,5,6,2,1,2,Unentschieden,Unentschieden
33,18,3,2,1,3,1,Unentschieden,Unentschieden
13,7,3,7,3,2,0,Unentschieden,Unentschieden
56,16,4,4,1,2,2,Unentschieden,Unentschieden
2,16,3,5,3,2,0,Unentschieden,Unentschieden
56,35,0,2,3,0,2,Unentschieden,Unentschieden
32,30,3,7,3,1,1,Unentschieden,Unentschieden
31,7,4,7,3,2,0,Unentschieden,Unentschieden
6,15,5,5,2,3,0,Sieg,Unentschieden
16,6,6,7,3,1,1,Unentschieden,Unentschieden
8,8,4,3,2,2,1,Sieg,Unentschieden
13,18,3,10,3,1,1,Unentschieden,Unentschieden
20,25,6,3,1,2,2,Sieg,Unentschieden
26,31,3,4,1,1,3,Unentschieden,Unentschieden
20,28,6,3,0,3,2,Sieg,Unentschieden
8,24,3,3,2,2,1,Sieg,Unentschieden
14,13,2,7,3,0,2,Unentschieden,Unentschieden
20,29,7,4,0,2,3,Sieg,Unentschieden
9,23,8,4,1,3,1,Sieg,Unentschieden
32,16,4,7,3,1,1,Unentschieden,Unentschieden
11,22,3,5,3,2,0,Unentschieden,Unentschieden
44,21,5,3,2,2,1,Unentschieden,Unentschieden
12,9,4,4,1,1,3,Sieg,Unentschieden
30,25,4,2,0,2,3,Sieg,Unentschieden
5,24,7,8,2,3,0,Sieg,Unentschieden
51,14,6,3,1,3,1,Sieg,Unentschieden
2,15,4,6,2,3,0,Sieg,Unentschieden
48,27,2,4,2,2,1,Unentschieden,Unentschieden
36,11,4,4,2,1,2,Unentschieden,Unentschieden
18,7,2,9,4,0,1,Unentschieden,Unentschieden
47,35,6,5,1,3,1,Unentschieden,Unentschieden
30,28,3,1,1,1,3,Sieg,Unentschieden
4,32,4,4,1,2,2,Sieg,Unentschieden
8,34,2,2,2,1,2,Sieg,Unentschieden
25,27,3,1,2,2,1,Unentschieden,Unentschieden
12,11,3,6,1,0,4,Unentschieden,Unentschieden
