@relation spiel

@attribute Verein numeric
@attribute Spieltag numeric
@attribute Niederlagen numeric

@data
1,38,0
1,37,0
1,36,0
1,35,0
1,34,0
1,33,1
1,32,1
1,31,1
1,30,1
1,29,1
1,28,0
1,27,0
1,26,0
1,25,0
1,24,0
1,23,0
1,22,0
1,21,0
1,20,0
1,19,0
1,18,0
1,17,0
1,16,0
1,15,0
1,14,0
1,13,1
1,12,1
1,11,1
1,10,1
1,9,2
1,8,1
1,7,1
1,6,1
2,38,1
2,37,1
2,36,1
2,35,1
2,34,1
2,33,1
2,32,1
2,31,1
2,30,1
2,29,1
2,28,1
2,27,0
2,26,0
2,25,0
2,24,0
2,23,1
2,22,1
2,21,2
2,20,2
2,19,2
2,18,1
2,17,1
2,16,0
2,15,0
2,14,0
2,13,0
2,12,0
2,11,1
2,10,1
2,9,1
2,8,1
2,7,1
2,6,0
3,38,1
3,37,1
3,36,1
3,35,1
3,34,1
3,33,2
3,32,1
3,31,1
3,30,1
3,29,2
3,28,1
3,27,1
3,26,1
3,25,1
3,24,0
3,23,0
3,22,0
3,21,0
3,20,0
3,19,0
3,18,0
3,17,0
3,16,0
3,15,0
3,14,0
3,13,1
3,12,1
3,11,1
3,10,1
3,9,1
3,8,0
3,7,0
3,6,0
4,38,0
4,37,0
4,36,0
4,35,0
4,34,1
4,33,1
4,32,2
4,31,2
4,30,2
4,29,1
4,28,1
4,27,1
4,26,1
4,25,1
4,24,1
4,23,1
4,22,1
4,21,1
4,20,1
4,19,1
4,18,2
4,17,1
4,16,1
4,15,1
4,14,1
4,13,0
4,12,1
4,11,1
4,10,1
4,9,1
4,8,1
4,7,0
4,6,1
5,38,1
5,37,1
5,36,1
5,35,1
5,34,1
5,33,1
5,32,0
5,31,1
5,30,2
5,29,2
5,28,2
5,27,2
5,26,1
5,25,0
5,24,0
5,23,0
5,22,1
5,21,1
5,20,1
5,19,2
5,18,3
5,17,2
5,16,2
5,15,2
5,14,1
5,13,0
5,12,0
5,11,0
5,10,0
5,9,0
5,8,0
5,7,0
5,6,0
6,38,0
6,37,0
6,36,0
6,35,0
6,34,0
6,33,0
6,32,0
6,31,0
6,30,0
6,29,1
6,28,1
6,27,2
6,26,2
6,25,2
6,24,1
6,23,1
6,22,0
6,21,1
6,20,2
6,19,2
6,18,2
6,17,2
6,16,1
6,15,0
6,14,0
6,13,1
6,12,1
6,11,1
6,10,1
6,9,1
6,8,0
6,7,0
6,6,0
7,38,1
7,37,1
7,36,1
7,35,1
7,34,1
7,33,1
7,32,1
7,31,1
7,30,0
7,29,0
7,28,1
7,27,2
7,26,3
7,25,3
7,24,3
7,23,2
7,22,2
7,21,2
7,20,2
7,19,2
7,18,2
7,17,1
7,16,0
7,15,0
7,14,0
7,13,0
7,12,1
7,11,1
7,10,1
7,9,1
7,8,1
7,7,0
7,6,0
8,38,1
8,37,1
8,36,1
8,35,1
8,34,2
8,33,2
8,32,2
8,31,1
8,30,1
8,29,1
8,28,2
8,27,2
8,26,2
8,25,2
8,24,1
8,23,0
8,22,0
8,21,0
8,20,0
8,19,1
8,18,1
8,17,1
8,16,1
8,15,1
8,14,0
8,13,1
8,12,1
8,11,2
8,10,2
8,9,2
8,8,1
8,7,2
8,6,1
9,38,1
9,37,1
9,36,1
9,35,1
9,34,1
9,33,1
9,32,1
9,31,1
9,30,1
9,29,1
9,28,2
9,27,2
9,26,1
9,25,1
9,24,1
9,23,1
9,22,2
9,21,2
9,20,2
9,19,3
9,18,2
9,17,1
9,16,1
9,15,1
9,14,0
9,13,0
9,12,1
9,11,1
9,10,1
9,9,1
9,8,1
9,7,0
9,6,0
10,38,1
10,37,1
10,36,1
10,35,1
10,34,2
10,33,3
10,32,2
10,31,2
10,30,2
10,29,1
10,28,0
10,27,1
10,26,1
10,25,2
10,24,2
10,23,2
10,22,1
10,21,2
10,20,1
10,19,2
