@relation spiel

@attribute Verein numeric
@attribute Spieltag numeric
@attribute Niederlagen numeric

@data
1,38,1
1,37,1
1,36,1
1,35,1
1,34,2
1,33,2
1,32,2
1,31,2
1,30,1
1,29,0
1,28,0
1,27,0
1,26,0
1,25,0
1,24,0
1,23,0
1,22,0
1,21,0
1,20,0
1,19,0
1,18,0
1,17,0
1,16,0
1,15,0
1,14,0
1,13,0
1,12,0
1,11,0
1,10,0
1,9,0
1,8,0
1,7,0
1,6,0
2,38,0
2,37,0
2,36,0
2,35,0
2,34,0
2,33,0
2,32,0
2,31,0
2,30,1
2,29,1
2,28,1
2,27,2
2,26,2
2,25,1
2,24,1
2,23,1
2,22,1
2,21,1
2,20,2
2,19,2
2,18,3
2,17,3
2,16,3
2,15,2
2,14,2
2,13,2
2,12,1
2,11,1
2,10,1
2,9,1
2,8,0
2,7,0
2,6,0
3,38,0
3,37,0
3,36,0
3,35,0
3,34,1
3,33,1
3,32,1
3,31,2
3,30,3
3,29,2
3,28,3
3,27,4
3,26,4
3,25,3
3,24,3
3,23,3
3,22,3
3,21,3
3,20,3
3,19,3
3,18,2
3,17,1
3,16,1
3,15,1
3,14,1
3,13,1
3,12,1
3,11,0
3,10,0
3,9,1
3,8,1
3,7,1
3,6,1
4,38,2
4,37,2
4,36,2
4,35,2
4,34,2
4,33,2
4,32,1
4,31,0
4,30,0
4,29,0
4,28,1
4,27,1
4,26,1
4,25,1
4,24,1
4,23,0
4,22,0
4,21,0
4,20,1
4,19,1
4,18,1
4,17,1
4,16,1
4,15,1
4,14,1
4,13,1
4,12,1
4,11,2
4,10,1
4,9,1
4,8,2
4,7,3
4,6,2
5,38,0
5,37,0
5,36,0
5,35,0
5,34,1
5,33,1
5,32,1
5,31,1
5,30,1
5,29,1
5,28,2
5,27,2
5,26,2
5,25,2
5,24,2
5,23,2
5,22,2
5,21,2
5,20,2
5,19,1
5,18,0
5,17,0
5,16,0
5,15,0
5,14,0
5,13,1
5,12,2
5,11,2
5,10,3
5,9,3
5,8,3
5,7,2
5,6,3
6,38,2
6,37,2
6,36,2
6,35,2
6,34,3
6,33,2
6,32,3
6,31,3
6,30,3
6,29,2
6,28,2
6,27,1
6,26,0
6,25,1
6,24,1
6,23,1
6,22,1
6,21,1
6,20,0
6,19,1
6,18,1
6,17,1
6,16,2
6,15,2
6,14,2
6,13,2
6,12,3
6,11,3
6,10,4
6,9,4
6,8,4
6,7,3
6,6,2
7,38,2
7,37,2
7,36,2
7,35,2
7,34,1
7,33,1
7,32,2
7,31,1
7,30,1
7,29,2
7,28,2
7,27,1
7,26,1
7,25,2
7,24,2
7,23,3
7,22,3
7,21,3
7,20,2
7,19,1
7,18,0
7,17,0
7,16,0
7,15,0
7,14,1
7,13,1
7,12,1
7,11,1
7,10,2
7,9,1
7,8,2
7,7,2
7,6,3
8,38,3
8,37,3
8,36,3
8,35,3
8,34,2
8,33,2
8,32,3
8,31,4
8,30,4
8,29,4
8,28,3
8,27,2
8,26,2
8,25,1
8,24,2
8,23,3
8,22,3
8,21,2
8,20,2
8,19,1
8,18,1
8,17,1
8,16,2
8,15,3
8,14,3
8,13,2
8,12,2
8,11,1
8,10,1
8,9,2
8,8,2
8,7,2
8,6,2
9,38,1
9,37,1
9,36,1
9,35,1
9,34,1
9,33,2
9,32,3
9,31,3
9,30,3
9,29,3
9,28,2
9,27,1
9,26,2
9,25,1
9,24,1
9,23,1
9,22,1
9,21,0
9,20,0
9,19,0
9,18,0
9,17,1
9,16,1
9,15,2
9,14,3
9,13,4
9,12,3
9,11,4
9,10,3
9,9,2
9,8,1
9,7,2
9,6,2
10,38,2
10,37,2
10,36,2
10,35,2
10,34,2
10,33,1
10,32,1
10,31,0
10,30,1
10,29,2
10,28,2
10,27,2
10,26,2
10,25,1
10,24,0
10,23,1
10,22,2
10,21,2
10,20,2
10,19,2
10,18,2
10,17,2
10,16,3
10,15,3
10,14,4
10,13,3
10,12,2
10,11,2
10,10,2
10,9,2
10,8,2
10,7,2
10,6,1
11,38,0
11,37,0
11,36,0
11,35,0
11,34,1
11,33,2
11,32,3
11,31,4
11,30,4
11,29,3
11,28,2
11,27,2
11,26,2
11,25,3
11,24,3
11,23,3
11,22,3
11,21,2
11,20,2
11,19,2
11,18,3
11,17,2
11,16,3
