@relation spiel

@attribute Verein numeric
@attribute Name string
@attribute Spieltag numeric
@attribute letzte3Tore numeric
@attribute letzte3GTore numeric
@attribute niederlagen5 numeric
@attribute siege5 numeric
@attribute draws5 numeric
@attribute real_outcome {Sieg, Unentschieden, Niederlage}

@data
1,'FC Bayern München',34,11,3,2,3,0,Sieg
1,'FC Bayern München',33,7,5,2,2,1,Sieg
1,'FC Bayern München',32,2,4,2,2,1,Sieg
1,'FC Bayern München',31,3,7,2,2,1,Sieg
1,'FC Bayern München',30,6,5,1,3,1,Unentschieden
1,'FC Bayern München',29,8,4,0,4,1,Niederlage
1,'FC Bayern München',28,7,2,0,5,0,Unentschieden
1,'FC Bayern München',27,10,2,0,5,0,Sieg
1,'FC Bayern München',26,13,3,0,5,0,Sieg
1,'FC Bayern München',25,15,2,0,5,0,Sieg
1,'FC Bayern München',24,13,1,0,5,0,Sieg
1,'FC Bayern München',23,10,0,0,5,0,Sieg
1,'FC Bayern München',22,11,0,0,5,0,Sieg
1,'FC Bayern München',21,9,0,0,5,0,Sieg
1,'FC Bayern München',20,9,1,0,5,0,Sieg
1,'FC Bayern München',19,7,2,0,5,0,Sieg
1,'FC Bayern München',18,12,2,0,5,0,Sieg
1,'FC Bayern München',17,12,1,0,5,0,Sieg
1,'FC Bayern München',16,12,0,0,5,0,Sieg
1,'FC Bayern München',15,8,0,0,5,0,Sieg
1,'FC Bayern München',14,8,1,0,5,0,Sieg
1,'FC Bayern München',13,8,3,0,4,1,Sieg
1,'FC Bayern München',12,9,4,0,4,1,Sieg
1,'FC Bayern München',11,8,4,0,4,1,Sieg
1,'FC Bayern München',10,6,2,0,4,1,Sieg
1,'FC Bayern München',9,6,1,0,3,2,Sieg
1,'FC Bayern München',8,7,0,0,4,1,Unentschieden
1,'FC Bayern München',7,7,1,0,4,1,Sieg
1,'FC Bayern München',6,5,1,0,4,1,Sieg
1,'FC Bayern München',5,4,1,0,3,1,Sieg
1,'FC Bayern München',4,6,1,0,3,0,Unentschieden
2,'Borussia Dortmund',34,9,6,0,4,1,Sieg
2,'Borussia Dortmund',33,9,4,0,4,1,Sieg
2,'Borussia Dortmund',32,9,3,0,4,1,Unentschieden
2,'Borussia Dortmund',31,8,3,0,4,1,Sieg
