@relation spiel

@attribute Verein numeric
@attribute Spieltag numeric
@attribute Niederlagen numeric

@data
1,38,4
1,37,4
1,36,4
1,35,4
1,34,3
1,33,2
1,32,2
1,31,2
1,30,3
1,29,4
1,28,5
1,27,5
1,26,5
1,25,5
1,24,5
1,23,5
1,22,5
1,21,5
1,20,5
1,19,5
1,18,5
1,17,5
1,16,5
1,15,5
1,14,5
1,13,4
1,12,4
1,11,4
1,10,4
1,9,3
1,8,4
1,7,4
1,6,4
2,38,4
2,37,4
2,36,4
2,35,4
2,34,4
2,33,4
2,32,4
2,31,4
2,30,3
2,29,3
2,28,3
2,27,3
2,26,3
2,25,4
2,24,4
2,23,3
2,22,3
2,21,2
2,20,1
2,19,1
2,18,1
2,17,1
2,16,2
2,15,3
2,14,3
2,13,3
2,12,4
2,11,3
2,10,3
2,9,3
2,8,4
2,7,4
2,6,5
3,38,4
3,37,4
3,36,4
3,35,4
3,34,3
3,33,2
3,32,3
3,31,2
3,30,1
3,29,1
3,28,1
3,27,0
3,26,0
3,25,1
3,24,2
3,23,2
3,22,2
3,21,2
3,20,2
3,19,2
3,18,3
3,17,4
3,16,4
3,15,4
3,14,4
3,13,3
3,12,3
3,11,4
3,10,4
3,9,3
3,8,4
3,7,4
3,6,4
4,38,3
4,37,3
4,36,3
4,35,3
4,34,2
4,33,2
4,32,2
4,31,3
4,30,3
4,29,4
4,28,3
4,27,3
4,26,3
4,25,3
4,24,3
4,23,4
4,22,4
4,21,4
4,20,3
4,19,3
4,18,2
4,17,3
4,16,3
4,15,3
4,14,3
4,13,4
4,12,3
4,11,2
4,10,3
4,9,3
4,8,2
4,7,2
4,6,2
5,38,4
5,37,4
5,36,4
5,35,4
5,34,3
5,33,3
5,32,4
5,31,3
5,30,2
5,29,2
5,28,1
5,27,1
5,26,2
5,25,3
5,24,3
5,23,3
5,22,2
5,21,2
5,20,2
5,19,2
5,18,2
5,17,3
5,16,3
5,15,3
5,14,4
5,13,4
5,12,3
5,11,3
5,10,2
5,9,2
5,8,2
5,7,3
5,6,2
6,38,3
6,37,3
6,36,3
6,35,3
6,34,2
6,33,3
6,32,2
6,31,2
6,30,2
6,29,2
6,28,2
6,27,2
6,26,3
6,25,2
6,24,3
6,23,3
6,22,4
6,21,3
6,20,3
6,19,2
6,18,2
6,17,2
6,16,2
6,15,3
6,14,3
6,13,2
6,12,1
6,11,1
6,10,0
6,9,0
6,8,1
6,7,2
6,6,3
7,38,2
7,37,2
7,36,2
7,35,2
7,34,3
7,33,3
7,32,2
7,31,3
7,30,4
7,29,3
7,28,2
7,27,2
7,26,1
7,25,0
7,24,0
7,23,0
7,22,0
7,21,0
7,20,1
7,19,2
7,18,3
7,17,4
7,16,5
7,15,5
7,14,4
7,13,4
7,12,3
7,11,3
7,10,2
7,9,3
7,8,2
7,7,3
7,6,2
8,38,1
8,37,1
8,36,1
8,35,1
8,34,1
8,33,1
8,32,0
8,31,0
8,30,0
8,29,0
8,28,0
8,27,1
8,26,1
8,25,2
8,24,2
8,23,2
8,22,2
8,21,3
8,20,3
8,19,3
8,18,3
8,17,3
8,16,2
8,15,1
8,14,2
8,13,2
8,12,2
8,11,2
8,10,2
8,9,1
8,8,2
8,7,1
8,6,2
9,38,3
9,37,3
9,36,3
9,35,3
9,34,3
9,33,2
9,32,1
9,31,1
9,30,1
9,29,1
9,28,1
9,27,2
9,26,2
9,25,3
9,24,3
9,23,3
9,22,2
9,21,3
9,20,3
9,19,2
9,18,3
9,17,3
9,16,3
9,15,2
9,14,2
9,13,1
9,12,1
9,11,0
9,10,1
9,9,2
9,8,3
9,7,3
9,6,3
10,38,2
10,37,2
10,36,2
10,35,2
10,34,1
10,33,1
10,32,2
10,31,3
10,30,2
10,29,2
10,28,3
10,27,2
10,26,2
10,25,2
10,24,3
10,23,2
10,22,2
10,21,1
10,20,2
10,19,1
10,18,1
10,17,1
10,16,1
10,15,1
10,14,1
10,13,1
10,12,1
10,11,1
10,10,1
10,9,1
10,8,1
10,7,2
10,6,2
11,38,4
11,37,4
11,36,4
11,35,4
11,34,3
11,33,2
11,32,2
11,31,1
11,30,1
11,29,1
11,28,1
11,27,1
11,26,1
11,25,0
11,24,1
11,23,2
11,22,2
11,21,2
11,20,2
11,19,2
11,18,1
11,17,1
11,16,1
11,15,1
11,14,0
11,13,0
11,12,0
11,11,1
11,10,1
11,9,2
11,8,3
11,7,3
11,6,3
12,38,0
12,37,0
12,36,0
12,35,0
12,34,1
12,33,1
12,32,2
12,31,3
12,30,3
12,29,2
12,28,3
12,27,2
12,26,1
12,25,2
12,24,2
12,23,2
12,22,2
12,21,3
12,20,2
12,19,2
12,18,1
12,17,1
12,16,0
12,15,0
12,14,0
12,13,0
12,12,0
12,11,0
12,10,1
12,9,1
12,8,2
12,7,2
12,6,2
13,38,2
13,37,2
13,36,2
13,35,2
13,34,2
13,33,2
13,32,2
13,31,1
13,30,1
13,29,2
13,28,2
13,27,2
13,26,2
13,25,2
13,24,1
13,23,0
13,22,1
13,21,1
13,20,1
13,19,1
13,18,1
13,17,0
13,16,1
13,15,1
13,14,1
13,13,1
13,12,1
13,11,1
13,10,1
13,9,1
13,8,1
13,7,2
13,6,2
14,38,0
14,37,0
14,36,0
14,35,0
14,34,0
14,33,0
14,32,1
14,31,1
14,30,1
14,29,1
14,28,1
14,27,1
14,26,2
14,25,2
14,24,3
14,23,4
14,22,3
14,21,2
14,20,2
14,19,1
14,18,0
14,17,0
14,16,0
14,15,0
14,14,0
14,13,0
14,12,0
14,11,0
14,10,0
14,9,0
14,8,0
14,7,0
14,6,0
15,38,1
15,37,1
15,36,1
15,35,1
15,34,2
15,33,2
15,32,2
15,31,2
15,30,2
15,29,1
15,28,1
15,27,1
15,26,0
15,25,0
15,24,0
15,23,0
15,22,0
15,21,0
15,20,1
15,19,1
15,18,1
15,17,2
15,16,2
15,15,1
15,14,1
15,13,1
15,12,1
15,11,1
15,10,2
15,9,3
15,8,3
15,7,2
15,6,2
16,38,0
16,37,0
16,36,0
16,35,0
16,34,1
16,33,1
16,32,1
16,31,1
16,30,2
16,29,1
16,28,1
16,27,2
16,26,2
16,25,1
16,24,1
16,23,1
16,22,0
16,21,0
16,20,0
16,19,0
16,18,1
16,17,1
16,16,1
16,15,2
16,14,2
16,13,2
16,12,2
16,11,2
16,10,1
16,9,2
16,8,1
16,7,1
16,6,1
17,38,2
17,37,2
17,36,2
17,35,2
17,34,2
17,33,3
17,32,3
17,31,3
17,30,3
17,29,3
17,28,2
17,27,2
17,26,1
17,25,0
17,24,0
17,23,1
17,22,2
17,21,2
17,20,2
17,19,2
17,18,2
17,17,1
17,16,2
17,15,2
17,14,2
17,13,1
17,12,1
17,11,0
17,10,0
17,9,0
17,8,0
17,7,0
17,6,0
18,38,0
18,37,0
18,36,0
18,35,0
18,34,1
18,33,1
18,32,2
18,31,2
18,30,2
18,29,1
18,28,1
18,27,0
18,26,1
18,25,1
18,24,1
18,23,1
18,22,2
18,21,1
18,20,1
18,19,1
18,18,1
18,17,0
18,16,1
18,15,1
18,14,1
18,13,2
18,12,2
18,11,1
18,10,1
18,9,1
18,8,0
18,7,0
18,6,0
19,38,3
19,37,3
19,36,3
19,35,3
19,34,4
19,33,4
19,32,5
19,31,4
19,30,3
19,29,3
19,28,2
19,27,1
19,26,2
19,25,2
19,24,2
19,23,3
19,22,4
19,21,4
19,20,4
19,19,3
19,18,3
19,17,3
19,16,2
19,15,3
19,14,4
19,13,3
19,12,3
19,11,4
19,10,3
19,9,3
19,8,3
19,7,2
19,6,1
20,38,3
20,37,3
20,36,3
20,35,3
20,34,2
20,33,1
20,32,2
20,31,2
20,30,1
20,29,2
20,28,3
20,27,2
20,26,2
20,25,2
20,24,2
20,23,1
20,22,2
20,21,3
20,20,3
20,19,3
20,18,4
20,17,3
20,16,2
20,15,2
20,14,2
20,13,2
20,12,2
20,11,2
20,10,2
20,9,2
20,8,2
20,7,3
20,6,4
21,38,4
21,37,4
21,36,4
21,35,4
21,34,3
21,33,3
21,32,3
21,31,3
21,30,3
21,29,3
21,28,3
21,27,2
21,26,3
21,25,3
21,24,4
21,23,4
21,22,5
21,21,4
21,20,3
21,19,2
21,18,1
21,17,1
21,16,2
21,15,3
21,14,3
21,13,3
21,12,3
21,11,2
21,10,2
21,9,2
21,8,2
21,7,1
21,6,1
22,38,1
22,37,1
22,36,1
22,35,1
22,34,2
22,33,2
22,32,2
22,31,1
22,30,1
22,29,1
22,28,1
22,27,2
22,26,2
22,25,2
22,24,2
22,23,2
22,22,1
22,21,2
22,20,3
22,19,2
22,18,3
22,17,4
22,16,3
22,15,2
22,14,2
22,13,2
22,12,1
22,11,1
22,10,1
22,9,1
22,8,1
22,7,1
22,6,2
23,38,0
23,37,0
23,36,0
23,35,0
23,34,0
23,33,1
23,32,1
23,31,1
23,30,1
23,29,1
23,28,0
23,27,1
23,26,1
23,25,1
23,24,2
23,23,3
23,22,2
23,21,2
23,20,2
23,19,1
23,18,0
23,17,1
23,16,1
23,15,2
23,14,3
23,13,3
23,12,3
23,11,4
23,10,3
23,9,3
23,8,4
23,7,3
23,6,2
24,38,0
24,37,0
24,36,0
24,35,0
24,34,1
24,33,1
24,32,1
24,31,1
24,30,2
24,29,1
24,28,2
24,27,3
24,26,3
24,25,2
24,24,2
24,23,2
24,22,2
24,21,2
24,20,3
24,19,4
24,18,3
24,17,2
24,16,3
24,15,2
24,14,2
24,13,2
24,12,3
24,11,2
24,10,3
24,9,2
24,8,2
24,7,1
24,6,2
25,38,3
25,37,3
25,36,3
25,35,3
25,34,3
25,33,2
25,32,2
25,31,2
25,30,1
25,29,2
25,28,2
25,27,2
25,26,1
25,25,2
25,24,2
25,23,2
25,22,2
25,21,2
25,20,2
25,19,2
25,18,3
25,17,3
25,16,3
25,15,3
25,14,3
25,13,2
25,12,2
25,11,2
25,10,1
25,9,1
25,8,1
25,7,2
25,6,3
26,38,2
26,37,2
26,36,2
26,35,2
26,34,3
26,33,2
26,32,1
26,31,1
26,30,1
26,29,0
26,28,1
26,27,2
26,26,2
26,25,2
26,24,2
26,23,1
26,22,0
26,21,1
26,20,1
26,19,1
26,18,2
26,17,2
26,16,2
26,15,2
26,14,2
26,13,2
26,12,2
26,11,1
26,10,2
26,9,2
26,8,2
26,7,2
26,6,2
27,38,1
27,37,1
27,36,1
27,35,1
27,34,1
27,33,1
27,32,2
27,31,3
27,30,3
27,29,3
27,28,3
27,27,2
27,26,1
27,25,1
27,24,2
27,23,2
27,22,2
27,21,3
27,20,3
27,19,2
27,18,3
27,17,3
27,16,2
27,15,1
27,14,2
27,13,1
27,12,2
27,11,3
27,10,3
27,9,2
27,8,2
27,7,1
27,6,0
28,38,3
28,37,3
28,36,3
28,35,3
28,34,3
28,33,2
28,32,2
28,31,1
28,30,1
28,29,2
28,28,2
28,27,1
28,26,1
28,25,1
28,24,0
28,23,0
28,22,1
28,21,2
28,20,3
28,19,4
28,18,4
28,17,3
28,16,2
28,15,1
28,14,0
28,13,1
28,12,1
28,11,1
28,10,1
28,9,2
28,8,2
28,7,3
28,6,3
29,38,4
29,37,4
29,36,4
29,35,4
29,34,4
29,33,4
29,32,3
29,31,2
29,30,1
29,29,0
29,28,1
29,27,1
29,26,1
29,25,1
29,24,1
29,23,1
29,22,2
29,21,2
29,20,2
29,19,3
29,18,2
29,17,1
29,16,2
29,15,3
29,14,2
29,13,2
29,12,2
29,11,1
29,10,1
29,9,1
29,8,1
29,7,1
29,6,2
30,38,2
30,37,2
30,36,2
30,35,2
30,34,1
30,33,0
30,32,1
30,31,1
30,30,1
30,29,1
30,28,1
30,27,1
30,26,2
30,25,2
30,24,2
30,23,2
30,22,2
30,21,1
30,20,2
30,19,3
30,18,3
30,17,3
30,16,3
30,15,3
30,14,2
30,13,2
30,12,1
30,11,1
30,10,1
30,9,1
30,8,1
30,7,1
30,6,1
31,38,1
31,37,1
31,36,1
31,35,1
31,34,2
31,33,2
31,32,3
31,31,2
31,30,2
31,29,1
31,28,1
31,27,1
31,26,2
31,25,2
31,24,2
31,23,2
31,22,1
31,21,0
31,20,1
31,19,1
31,18,1
31,17,1
31,16,2
31,15,1
31,14,2
31,13,2
31,12,2
31,11,1
31,10,2
31,9,1
31,8,1
31,7,2
31,6,3
32,38,2
32,37,2
32,36,2
32,35,2
32,34,1
32,33,1
32,32,0
32,31,0
32,30,1
32,29,2
32,28,2
32,27,2
32,26,3
32,25,3
32,24,2
32,23,2
32,22,2
32,21,1
32,20,1
32,19,1
32,18,1
32,17,1
32,16,1
32,15,1
32,14,1
32,13,2
32,12,2
32,11,2
32,10,1
32,9,2
32,8,2
32,7,2
32,6,2
33,38,2
33,37,2
33,36,2
33,35,2
33,34,1
33,33,2
33,32,2
33,31,2
33,30,2
33,29,2
33,28,1
33,27,1
33,26,2
33,25,1
33,24,1
33,23,1
33,22,1
33,21,0
33,20,1
33,19,2
33,18,3
33,17,3
33,16,3
33,15,2
33,14,1
33,13,0
33,12,1
33,11,2
33,10,2
33,9,2
33,8,2
33,7,1
33,6,1
34,38,1
34,37,1
34,36,1
